,released_date,budget,gross
614,1984-09-28,20500000.0,1142944.0
615,1984-11-16,20500000.0,7889694.0
616,1984-09-21,20500000.0,4239154.0
617,1984-02-17,12000000.0,129268.0
618,1986-02-14,20500000.0,20208496.0
619,1984-03-30,20500000.0,1525532.0
620,1984-03-09,6300000.0,1059966.0
621,1984-01-20,20500000.0,1820049.0
622,1985-03-01,20500000.0,2527088.0
623,1984-01-20,20500000.0,526805.0
624,1984-11-09,20500000.0,21538850.0
625,1985-02-15,20500000.0,162364.0
626,1985-02-01,20500000.0,1839623.0
627,1984-09-28,20500000.0,148750.0
628,1984-04-20,20500000.0,200498.0
629,1984-04-11,20500000.0,2411143.0
630,1984-12-14,20500000.0,1945658.0
631,1986-01-01,20500000.0,343890.0
632,1984-11-02,20500000.0,20208496.0
634,1984-02-03,20500000.0,21058033.0
635,1984-03-02,20500000.0,837914.0
636,1986-04-23,20500000.0,20208496.0
637,1985-04-19,20500000.0,20208496.0
638,1986-02-14,20500000.0,2729.0
639,1985-03-29,1000000.0,95000.0
640,1984-06-08,20500000.0,20208496.0
641,1984-11-02,20500000.0,20208496.0
642,1985-04-19,20500000.0,127426.0
643,1985-08-02,7500000.0,38934048.0
644,1985-06-07,19000000.0,63980721.0
645,1985-07-03,19000000.0,381906762.0
646,1985-11-01,6000000.0,17307019.0
647,1985-12-13,15000000.0,14643997.0
648,1985-02-15,1000000.0,51525171.0
649,1985-06-21,17500000.0,85313124.0
650,1985-05-22,44000000.0,300400432.0
651,1985-03-22,8000000.0,48230162.0
652,1986-04-18,24500000.0,15502112.0
653,1985-08-16,4000000.0,14237880.0
654,1985-06-28,10000000.0,37803872.0
655,1985-12-18,15000000.0,9949953.0
656,1985-06-28,6900000.0,41410568.0
657,1985-08-23,20500000.0,33086611.0
658,1985-08-07,8000000.0,12952019.0
659,1985-10-04,10000000.0,57491000.0
660,1985-02-08,12000000.0,68706993.0
661,1986-02-07,15000000.0,98467863.0
662,1985-07-10,26000000.0,32192570.0
663,1985-11-27,30000000.0,300473716.0
664,1985-10-11,20500000.0,10297601.0
665,1985-06-01,11500000.0,4164283.0
666,1985-04-12,20000000.0,18432000.0
667,1986-04-11,3000000.0,21041453.0
668,1985-07-03,17900000.0,6951415.0
669,1985-08-02,9000000.0,24922237.0
670,1985-07-12,25000000.0,9873044.0
671,1985-08-30,6500000.0,20208496.0
